,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
1163,12972154,JG139551,2023-02-03T02:08:00.000,028XX W TOUHY AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,OTHER (SPECIFY),False,False,2411,024,50,2,26,1156037,1947610,2023,2023-02-10T15:48:08.000,42.012035462,-87.701210616,"{'latitude': '42.012035462', 'longitude': '-87.701210616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,359,27,12,11,35
1164,12971492,JG138910,2023-02-03T02:00:00.000,080XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0631,006,8,44,08B,1183626,1851983,2023,2023-02-10T15:48:08.000,41.749027117,-87.602694582,"{'latitude': '41.749027117', 'longitude': '-87.602694582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,235
1165,12972067,JG139851,2023-02-03T02:00:00.000,046XX W MONTANA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2521,025,31,19,14,1144932,1915917,2023,2023-02-10T15:48:08.000,41.925285172,-87.742875066,"{'latitude': '41.925285172', 'longitude': '-87.742875066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22615,19,305,17,2,6,176
1166,12977411,JG138989,2023-02-03T02:00:00.000,021XX W 53RD PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,0932,009,16,61,14,1162889,1869161,2023,2023-02-11T15:44:57.000,41.796624001,-87.678203396,"{'latitude': '41.796624001', 'longitude': '-87.678203396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,14924,59,686,2,37,23,128
1167,12971477,JG138931,2023-02-03T02:00:00.000,091XX S ASHLAND AVE,0810,THEFT,OVER $500,STREET,False,False,2221,022,21,73,06,1167277,1844056,2023,2023-02-10T15:48:08.000,41.727639625,-87.662829756,"{'latitude': '41.727639625', 'longitude': '-87.662829756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,72,195,13,59,9,245
1168,12972147,JG139555,2023-02-03T02:00:00.000,028XX W TOUHY AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,2411,024,50,2,26,1156037,1947610,2023,2023-02-10T15:48:08.000,42.012035462,-87.701210616,"{'latitude': '42.012035462', 'longitude': '-87.701210616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,359,27,12,11,35
1169,12971623,JG139171,2023-02-03T02:00:00.000,048XX W WASHINGTON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1533,015,28,25,14,1144015,1900064,2023,2023-02-10T15:48:08.000,41.881800069,-87.746642988,"{'latitude': '41.881800069', 'longitude': '-87.746642988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,696,23,32,25,81
1170,12971553,JG139045,2023-02-03T02:00:00.000,004XX E 43RD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0214,002,3,38,07,1179801,1876593,2023,2023-02-10T15:48:08.000,41.816647623,-87.615958344,"{'latitude': '41.816647623', 'longitude': '-87.615958344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,4301,4,625,9,36,24,104
1171,12971519,JG139012,2023-02-03T02:00:00.000,037XX W HAYFORD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0833,008,18,70,14,1153016,1854202,2023,2023-02-10T15:48:08.000,41.755774954,-87.7148035,"{'latitude': '41.755774954', 'longitude': '-87.7148035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,571,30,8,13,209
1172,12971559,JG139076,2023-02-03T02:00:00.000,100XX S MICHIGAN AVE,0880,THEFT,PURSE-SNATCHING,CTA BUS STOP,False,False,0511,005,9,49,06,1178993,1838546,2023,2023-02-10T15:48:08.000,41.712261024,-87.620079533,"{'latitude': '41.712261024', 'longitude': '-87.620079533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,570,43,19,10,250
1173,12971414,JG138920,2023-02-03T02:00:00.000,043XX S GREENWOOD AVE,031A,ROBBERY,ARMED - HANDGUN,VEHICLE NON-COMMERCIAL,False,False,0222,002,4,39,03,1184316,1876454,2023,2023-02-10T15:48:08.000,41.816161569,-87.599400806,"{'latitude': '41.816161569', 'longitude': '-87.599400806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,5,395,10,36,24,113
1174,12971814,JG139423,2023-02-03T02:00:00.000,0000X E 102ND ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,RESIDENCE,False,False,0511,005,9,49,11,1178455,1837356,2023,2023-02-10T15:48:08.000,41.709007716,-87.62208583,"{'latitude': '41.709007716', 'longitude': '-87.62208583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,570,43,19,10,250
1175,12971657,JG139229,2023-02-03T02:00:00.000,028XX W TOUHY AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,APARTMENT,False,False,2411,024,50,2,26,1156059,1947611,2023,2023-02-10T15:48:08.000,42.01203776,-87.701129641,"{'latitude': '42.01203776', 'longitude': '-87.701129641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,359,27,12,11,35
1176,12971388,JG138890,2023-02-03T01:39:00.000,001XX E 104TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,0512,005,9,49,14,1179068,1836046,2023,2023-02-10T15:48:08.000,41.705398982,-87.619880721,"{'latitude': '41.705398982', 'longitude': '-87.619880721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,236,43,19,10,256
1177,12971410,JG138900,2023-02-03T01:31:00.000,101XX S MORGAN ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,2232,022,34,73,03,1171436,1837679,2023,2023-02-10T15:48:08.000,41.710050295,-87.647780672,"{'latitude': '41.710050295', 'longitude': '-87.647780672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22212,72,594,22,13,9,253
1178,12971497,JG138919,2023-02-03T01:30:00.000,007XX S CLINTON ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,0124,001,25,28,15,1172840,1896884,2023,2023-02-10T15:48:08.000,41.872484426,-87.640892683,"{'latitude': '41.872484426', 'longitude': '-87.640892683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14917,29,97,26,44,22,147
1179,12971394,JG138897,2023-02-03T01:28:00.000,047XX N KOSTNER AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,1722,017,39,14,15,1146187,1931206,2023,2023-02-10T15:48:08.000,41.967215692,-87.737873271,"{'latitude': '41.967215692', 'longitude': '-87.737873271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,21869,14,362,38,48,1,11
1180,12971440,JG138896,2023-02-03T01:22:00.000,054XX W WASHINGTON BLVD,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1522,015,29,25,04A,1139805,1900211,2023,2023-02-10T15:48:08.000,41.882281393,-87.76209864,"{'latitude': '41.882281393', 'longitude': '-87.76209864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,674,23,32,25,84
1181,12971396,JG138891,2023-02-03T01:15:00.000,038XX W 68TH PL,0810,THEFT,OVER $500,STREET,False,False,0833,008,13,65,06,1152037,1858908,2023,2023-02-10T15:48:08.000,41.768708248,-87.718268033,"{'latitude': '41.768708248', 'longitude': '-87.718268033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,63,317,15,58,13,209
1182,12971401,JG138889,2023-02-03T01:14:00.000,015XX S RIDGEWAY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1014,010,24,29,08B,1151627,1892223,2023,2023-02-10T15:48:08.000,41.860137289,-87.71889775,"{'latitude': '41.860137289', 'longitude': '-87.71889775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,33,14,57,21,156
1183,12971386,JG138886,2023-02-03T01:08:00.000,122XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0523,005,34,53,08B,1173536,1823704,2023,2023-02-10T15:48:08.000,41.671654586,-87.640501773,"{'latitude': '41.671654586', 'longitude': '-87.640501773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,50,60,22,19,10,218
1184,12972944,JG140805,2023-02-03T01:00:00.000,028XX E 77TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0421,004,7,43,07,1196527,1854628,2023,2023-02-10T15:48:08.000,41.755974849,-87.555333653,"{'latitude': '41.755974849', 'longitude': '-87.555333653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,421,37,24,19,225
1185,12972993,JG139206,2023-02-03T01:00:00.000,060XX N BERNARD ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,1711,017,50,13,26,1152283,1939955,2023,2023-02-10T15:48:08.000,41.991105014,-87.715226718,"{'latitude': '41.991105014', 'longitude': '-87.715226718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,4450,13,747,27,50,1,53
1186,12971405,JG138894,2023-02-03T01:00:00.000,043XX W THOMAS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1111,011,37,23,08B,1147260,1906978,2023,2023-02-10T15:48:08.000,41.900711356,-87.734550124,"{'latitude': '41.900711356', 'longitude': '-87.734550124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,99,45,5,16,68
1187,12971689,JG139272,2023-02-03T01:00:00.000,004XX N WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1834,018,42,8,07,1176668,1903135,2023,2023-02-10T15:48:08.000,41.889551923,-87.626649565,"{'latitude': '41.889551923', 'longitude': '-87.626649565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,626,36,6,14,74
1188,12975964,JG144322,2023-02-03T01:00:00.000,072XX N WASHTENAW AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2411,024,50,2,06,1157086,1947862,2023,2023-02-10T15:48:08.000,42.012705638,-87.697343963,"{'latitude': '42.012705638', 'longitude': '-87.697343963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,359,27,12,11,35
1189,12971406,JG138884,2023-02-03T00:45:00.000,017XX W ARMITAGE AVE,0560,ASSAULT,SIMPLE,GAS STATION,False,False,1432,014,32,22,08A,1164191,1913352,2023,2023-02-10T15:48:08.000,41.917860934,-87.672180977,"{'latitude': '41.917860934', 'longitude': '-87.672180977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,21560,23,209,40,4,7,191
