year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,teachers_fte_crdc,teachers_uncertified_fte,support_fte,counselors_fte,social_workers_fte,psychologists_fte,law_enforcement_fte,security_guard_fte,salaries_teachers,salaries_instructional_aides,salaries_support,salaries_administration
mixed - most recent,1.73E+11,Oblong High School,IL,Oblong CUSD 4,High,Regular school,No,18,0,2,0.5,0,0,0,0,727025,46872,68380,109177.43
mixed - most recent,1.70E+11,OCEC Life Skills,IL,Ogle Co Education Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.73E+11,Odell Grade School,IL,Odell CCSD 435,Primary,Regular school,No,18,0,1,0,0.4,0.2,0,0,1000687,86966,51250,56750
mixed - most recent,1.70E+11,Odin Attendance Center 9-12,IL,Odin PSD 722,High,Regular school,No,8,0,8,1,0,0,0,0,381808,-2,134776.438,130432.523
mixed - most recent,1.70E+11,Odin Attendance Center K-8,IL,Odin PSD 722,Primary,Regular school,No,12,0,4,1,1,0,0,0,571823,39212,91476,96804
mixed - most recent,1.72E+11,Ogden Ave Elem School,IL,La Grange SD 102,Primary,Regular school,No,42,0,18,0,1,1,0,0,2477775,137438.547,281465,145653.672
mixed - most recent,1.71E+11,Ogden Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,108,1,12,4,0,0,0,4,6096545,639157.688,473308.688,409864.875
mixed - most recent,1.71E+11,Ogden Int High School,IL,City of Chicago SD 299,High,Regular school,No,108,1,12,4,0,0,0,4,6096545,639157.688,473308.688,409864.875
mixed - most recent,1.71E+11,Oglesby Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,32,1,4,1,0,0,0,2,1691774,280282.125,154923.547,248199
mixed - most recent,1.73E+11,Ohio Com Cons Grade School,IL,Ohio CCSD 17,Primary,Regular school,No,11,0,2,0.25,0,0,0,0,487350,16684.561,39698.129,140775.219
mixed - most recent,1.73E+11,Ohio Community High School,IL,Ohio CHSD 505,High,Regular school,No,7,0,1.25,1,0,0,0,0,334789,-2,45366.191,145803.797
mixed - most recent,1.70E+11,Okaw Area Vocational Center,IL,Bond/Christian/Effingham/Fayette/Montgomery ROE,High,Vocational school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,Okaw Regional Voc System,IL,Monroe/Randolph ROE,High,Vocational school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,Okaw Valley Elementary School,IL,Okaw Valley CUSD 302,Primary,Regular school,No,17,0,0,2.25,1,1,0,0,1062000,102400,-2,72500
mixed - most recent,1.70E+11,Okaw Valley High School,IL,Okaw Valley CUSD 302,High,Regular school,No,18,0,0,1,0,1,0,0,1215870,20698,-2,95298
mixed - most recent,1.70E+11,Okaw Valley Middle School,IL,Okaw Valley CUSD 302,Middle,Regular school,No,12,0,1,1,0,1,0,0,924000,36100,18858,92298
