Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U69125,69125,Our Savior Lutheran School (Canfield)," 5,975 ", -   ," (5,975)", -   , -   , -   ," 2,037 ", -   , -   ," (5,975)",0
U69321,69321,Our Savior Lutheran School (Cornelia)," 7,343 ", -   ," (7,343)", -   , -   , -   , -   , -   , -   ," (7,343)",0
U24011,24011,Pablo Casals School," 47,45,757 "," 44,72,388 "," (2,73,369)", 49 , 47 , (2)," 40,52,630 ", 47 , -   ," (2,73,369)",47
U24841,24841,Park Manor Elementary School," 40,39,478 "," 41,69,553 "," 1,30,076 ", 36 , 37 , 1 ," 33,70,124 ", 27 , -   ," 1,30,076 ",37
U31201,31201,Parkside Community Academy School," 40,00,054 "," 39,02,849 "," (97,205)", 35 , 37 , 2 ," 32,27,215 ", 35 , -   ," (97,205)",37
U65016,65016,Pathways in Education Avondale," 43,47,169 "," 43,62,254 "," 15,085 ", -   , -   , -   ," 39,71,386 ", -   , -   ," 15,085 ",0
U66801,66801,Pathways in Education Brighton Park," 55,51,670 "," 43,16,101 "," (12,35,570)", -   , -   , -   ," 48,45,824 ", -   , -   ," (12,35,570)",0
U69618,69618,Pathways in Education Humboldt Park," 16,07,949 "," 20,79,043 "," 4,71,094 ", -   , -   , -   ," 28,24,493 ", -   , -   ," 4,71,094 ",0
U65018,65018,Pathways in Education- Ashburn," 40,77,480 "," 43,16,499 "," 2,39,018 ", -   , -   , -   ," 37,50,916 ", -   , -   ," 2,39,018 ",0
U23731,23731,Patrick Henry School," 64,05,759 "," 58,10,591 "," (5,95,168)", 58 , 57 , (1)," 54,70,021 ", 53 , -   ," (5,95,168)",56.5
U23881,23881,Paul Cuffe Elementary School," 45,07,381 "," 42,34,869 "," (2,72,512)", 44 , 41 , (3)," 40,15,678 ", 39 , -   ," (2,72,512)",41
U25121,25121,Paul Revere Accelerated School," 30,49,728 "," 29,05,669 "," (1,44,058)", 28 , 28 , -   ," 26,19,428 ", 27 , -   ," (1,44,058)",27.5
U46121,46121,Paul Robeson High School," 5,145 ", -   ," (5,145)", -   , -   , -   , -   , -   , -   ," (5,145)",0
U12450,12450,Payroll Services," 23,16,758 "," 43,95,379 "," 20,78,621 ", 24 , 48 , 24 ," 22,91,910 ", 24 , -   ," 20,78,621 ",48
U67021,67021,Peace and Education Coalition High School," 34,75,265 "," 39,44,929 "," 4,69,664 ", 35 , 37 , 2 ," 33,27,588 ", 34 , -   ," 4,69,664 ",36.5
U12470,12470,Pension & Liability Insurance - City Wide," 76,48,82,206 "," 88,31,12,459 "," 11,82,30,253 ", 6 , 6 , -   ," 95,32,80,420 ", 6 , -   ," 11,82,30,253 ",6
U46401,46401,Percy L Julian High School," 72,47,747 "," 72,90,242 "," 42,495 ", 64 , 70 , 6 ," 65,09,008 ", 66 , -   ," 42,495 ",70
U22161,22161,Perkins Bass School," 53,29,833 "," 54,73,526 "," 1,43,693 ", 49 , 55 , 6 ," 45,52,100 ", 47 , -   ," 1,43,693 ",55
U66053,66053,Perspectives - High School of Technology," 49,42,813 "," 52,16,938 "," 2,74,124 ", -   , -   , -   ," 42,41,348 ", -   , -   ," 2,74,124 ",0
U66052,66052,Perspectives - Leadership Academy," 75,28,745 "," 81,19,353 "," 5,90,608 ", -   , -   , -   ," 62,58,286 ", -   , -   ," 5,90,608 ",0
U66056,66056,Perspectives - Math and Science Academy," 66,64,701 "," 58,14,169 "," (8,50,531)", -   , -   , -   ," 60,70,390 ", -   , -   ," (8,50,531)",0
U66051,66051,Perspectives Charter School - Rodney D. Joslin Campus," 56,37,638 "," 56,79,761 "," 42,123 ", -   , -   , -   ," 52,03,461 ", -   , -   ," 42,123 ",0
U25111,25111,Peter A Reinberg School," 92,59,421 "," 95,24,590 "," 2,65,169 ", 80 , 91 , 11 ," 82,45,475 ", 79 , -   ," 2,65,169 ",91
U22831,22831,Peter Cooper Dual Language Academy," 65,08,601 "," 66,00,679 "," 92,078 ", 59 , 63 , 4 ," 52,93,433 ", 56 , -   ," 92,078 ",63
U22061,22061,Philip D Armour School," 43,66,445 "," 43,61,970 "," (4,475)", 41 , 47 , 6 ," 32,15,129 ", 37 , -   ," (4,475)",47
