Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U25871,25871,A N Pritzker School," 71,70,513 "," 65,04,830 "," (6,65,682)", 62 , 60 , (3)," 63,31,175 ", 59 , -   ," (6,65,682)",59.5
U29111,29111,A Philip Randolph Magnet School," 51,93,886 "," 49,18,846 "," (2,75,040)", 43 , 42 , (1)," 48,61,656 ", 44 , -   ," (2,75,040)",42
U66291,66291,ACE Technical Charter School, -   , -   , -   , -   , -   , -   ," 2,213 ", -   , -   , -   ,0
U66255,66255,ASPIRA Business and Finance," 95,72,364 "," 84,98,369 "," (10,73,995)", 3 , 3 , -   ," 89,62,437 ", 3 , -   ," (10,73,995)",3
U66254,66254,ASPIRA Charter - Early College Campus," 52,68,271 "," 48,58,487 "," (4,09,784)", 2 , 2 , -   ," 46,90,291 ", 2 , -   ," (4,09,784)",2
U66351,66351,ASPIRA Charter-Haugan Middle School Campus," 30,29,729 "," 23,73,078 "," (6,56,651)", 5 , 5 , -   ," 28,94,363 ", 5 , -   ," (6,56,651)",5
U11116,11116,AUSL Program Support," 19,02,418 ", -   ," (19,02,418)", 14 , -   , (14)," 53,05,864 ", 12 , -   ," (19,02,418)",0
U24191,24191,Abraham Lincoln Elementary School," 85,36,180 "," 76,12,464 "," (9,23,716)", 71 , 66 , (5)," 72,30,540 ", 66 , -   ," (9,23,716)",65.5
U63011,63011,Academy for Global Citizenship," 53,86,233 "," 59,24,916 "," 5,38,683 ", 6 , 6 , -   ," 55,28,163 ", 6 , -   ," 5,38,683 ",6
U69362,69362,Academy of Sacred Heart/Hardey Prep," 2,75,883 ", -   ," (2,75,883)", -   , -   , -   , -   , -   , -   ," (2,75,883)",0
U69257,69257,Academy of St. Benedict the African Laflin," 1,17,327 ", -   ," (1,17,327)", -   , -   , -   ," 31,689 ", -   , -   ," (1,17,327)",0
U11201,11201,Access and Enrollment," 63,48,605 "," 52,38,553 "," (11,10,052)", 21 , 17 , (4)," 64,33,529 ", 18 , -   ," (11,10,052)",17
U12410,12410,Accounting," 70,25,060 "," 85,23,298 "," 14,98,238 ", 31 , 50 , 19 ," 65,07,428 ", 29 , -   ," 14,98,238 ",50
U12430,12430,Accounts Payable," 17,99,243 "," 17,08,926 "," (90,317)", 14 , 19 , 5 ," 14,39,038 ", 14 , -   ," (90,317)",19
U66392,66392,Acero Charter Schools - Bartolome de las Casas," 35,78,136 "," 35,21,421 "," (56,715)", -   , -   , -   ," 32,70,648 ", -   , -   ," (56,715)",0
U66602,66602,Acero Charter Schools - Brighton Park," 74,52,748 "," 75,32,591 "," 79,843 ", -   , -   , -   ," 68,28,890 ", -   , -   ," 79,843 ",0
U66393,66393,Acero Charter Schools - Carlos Fuentes," 65,82,409 "," 62,89,173 "," (2,93,236)", -   , -   , -   ," 66,17,401 ", -   , -   ," (2,93,236)",0
U66601,66601,Acero Charter Schools - Esmeralda Santiago," 35,92,958 "," 35,19,239 "," (73,719)", -   , -   , -   ," 34,17,092 ", -   , -   ," (73,719)",0
U66399,66399,Acero Charter Schools - Jovita Idar," 70,22,052 "," 72,05,579 "," 1,83,527 ", -   , -   , -   ," 62,17,532 ", -   , -   ," 1,83,527 ",0
U66394,66394,Acero Charter Schools - Major Hector P. Garcia MD," 95,03,688 "," 97,09,006 "," 2,05,318 ", -   , -   , -   ," 88,24,691 ", -   , -   ," 2,05,318 ",0
U66131,66131,Acero Charter Schools - Octavio Paz Campus," 34,17,952 "," 31,94,026 "," (2,23,926)", -   , -   , -   ," 36,49,019 ", -   , -   ," (2,23,926)",0
U66397,66397,Acero Charter Schools - Officer Donald J. Marquez," 74,30,625 "," 74,56,272 "," 25,647 ", -   , -   , -   ," 69,92,713 ", -   , -   ," 25,647 ",0
U66396,66396,Acero Charter Schools - PFC Omar E. Torres," 77,15,510 "," 74,32,509 "," (2,83,001)", -   , -   , -   ," 73,71,865 ", -   , -   ," (2,83,001)",0
U66133,66133,Acero Charter Schools - Roberto Clemente," 68,48,812 "," 70,74,359 "," 2,25,547 ", -   , -   , -   ," 60,81,465 ", -   , -   ," 2,25,547 ",0
U66391,66391,Acero Charter Schools - Rufino Tamayo," 39,50,453 "," 38,21,637 "," (1,28,816)", -   , -   , -   ," 36,17,895 ", -   , -   ," (1,28,816)",0
U66395,66395,Acero Charter Schools - SPC Daniel Zizumbo," 79,32,759 "," 76,62,077 "," (2,70,682)", -   , -   , -   ," 70,27,431 ", -   , -   ," (2,70,682)",0
U66398,66398,Acero Charter Schools - Sandra Cisneros," 67,10,640 "," 65,29,527 "," (1,81,112)", -   , -   , -   ," 57,37,862 ", -   , -   ," (1,81,112)",0
U66134,66134,Acero Charter Schools - Sor Juana Ines de la Cruz," 88,40,589 "," 83,54,043 "," (4,86,546)", -   , -   , -   ," 77,13,089 ", -   , -   ," (4,86,546)",0
U66137,66137,Acero Charter Schools - Victoria Soto," 78,63,829 "," 78,55,754 "," (8,075)", -   , -   , -   ," 72,67,294 ", -   , -   ," (8,075)",0
U26291,26291,Adam Clayton Powell Jr Paideia Community Academy," 63,95,976 "," 61,91,624 "," (2,04,352)", 52 , 56 , 4 ," 56,84,771 ", 54 , -   ," (2,04,352)",56
U25471,25471,Adlai E Stevenson School," 1,44,78,842 "," 1,36,68,165 "," (8,10,677)", 128 , 128 , 1 ," 1,23,82,887 ", 119 , -   ," (8,10,677)",128
U23791,23791,Agustin Lara Academy," 61,93,776 "," 58,73,825 "," (3,19,951)", 57 , 55 , (2)," 48,15,432 ", 47 , -   ," (3,19,951)",55
U45231,45231,Air Force Academy High School," 36,80,237 "," 36,63,463 "," (16,774)", 36 , 34 , (2)," 36,45,302 ", 36 , -   ," (16,774)",34
U69343,69343,Akiba Jewish Day School," 1,45,238 ", -   ," (1,45,238)", -   , -   , -   ," 64,678 ", -   , -   ," (1,45,238)",0
U46471,46471,Al Raby High School," 49,67,294 "," 48,58,662 "," (1,08,632)", 51 , 52 , 1 ," 48,02,634 ", 55 , -   ," (1,08,632)",51.5
U66151,66151,Alain Locke Charter School," 57,56,830 "," 60,83,652 "," 3,26,822 ", 3 , 3 , -   ," 52,31,018 ", 3 , -   ," 3,26,822 ",3
U32011,32011,Albany Park Multicultural Academy Elementary School," 34,26,476 "," 30,88,882 "," (3,37,594)", 29 , 29 , -   ," 31,17,816 ", 30 , -   ," (3,37,594)",29
U46221,46221,Albert G Lane Technical High School," 3,95,52,428 "," 3,58,17,946 "," (37,34,482)", 319 , 322 , 3 ," 3,46,48,377 ", 318 , -   ," (37,34,482)",322
U29371,29371,Albert R Sabin Magnet School," 59,52,179 "," 53,83,489 "," (5,68,689)", 54 , 50 , (4)," 53,24,474 ", 54 , -   ," (5,68,689)",50
U70241,70241,Alcott College Preparatory High School," 46,12,273 "," 45,97,667 "," (14,606)", 39 , 42 , 3 ," 38,96,222 ", 36 , -   ," (14,606)",41.5
U25681,25681,Alessandro Volta School," 86,06,284 "," 77,22,771 "," (8,83,513)", 77 , 70 , (7)," 77,65,476 ", 78 , -   ," (8,83,513)",70
U22301,22301,Alex Haley School," 65,09,415 "," 62,79,612 "," (2,29,804)", 57 , 57 , -   ," 58,32,321 ", 56 , -   ," (2,29,804)",57
U22231,22231,Alexander Graham Bell School," 1,05,64,881 "," 97,94,425 "," (7,70,456)", 92 , 90 , (2)," 96,25,207 ", 90 , -   ," (7,70,456)",89.5
U23391,23391,Alexander Graham School," 51,27,063 "," 47,32,587 "," (3,94,476)", 50 , 47 , (3)," 45,18,181 ", 46 , -   ," (3,94,476)",47
U23501,23501,Alexander Hamilton School," 55,87,234 "," 53,25,271 "," (2,61,963)", 51 , 52 , 1 ," 49,27,158 ", 49 , -   ," (2,61,963)",52
U24691,24691,Alfred Nobel Elementary School," 77,24,734 "," 70,95,524 "," (6,29,210)", 70 , 68 , (2)," 66,83,466 ", 72 , -   ," (6,29,210)",68
U22131,22131,Alice L Barnard Computer Math & Science Center," 38,38,730 "," 37,17,332 "," (1,21,398)", 34 , 35 , 1 ," 33,30,075 ", 33 , -   ," (1,21,398)",35
U69601,69601,All Day Montessori School," 2,691 ", -   ," (2,691)", -   , -   , -   , -   , -   , -   ," (2,691)",0
U69323,69323,Altus Academy," 90,893 ", -   ," (90,893)", -   , -   , -   ," 11,340 ", -   , -   ," (90,893)",0
U24981,24981,Ambrose Plamondon School," 28,29,177 "," 27,74,373 "," (54,804)", 24 , 27 , 3 ," 21,39,006 ", 24 , -   ," (54,804)",26.5
U26441,26441,Amelia Earhart Options For Knowledge Specialty School," 29,91,489 "," 29,05,474 "," (86,016)", 25 , 25 , -   ," 24,63,546 ", 24 , -   ," (86,016)",24.5
U26521,26521,Amos A Stagg School," 51,12,294 "," 52,09,057 "," 96,764 ", 49 , 55 , 6 ," 38,73,460 ", 44 , -   ," 96,764 ",55
U69104,69104,Ancona School Society," 1,12,308 ", -   ," (1,12,308)", -   , -   , -   ," 14,826 ", -   , -   ," (1,12,308)",0
U22551,22551,Andrew Carnegie School," 62,30,016 "," 61,09,970 "," (1,20,046)", 52 , 54 , 2 ," 58,11,808 ", 53 , -   ," (1,20,046)",54
U29171,29171,Andrew Jackson Language Academy," 52,53,135 "," 48,46,475 "," (4,06,660)", 45 , 44 , (1)," 49,80,281 ", 45 , -   ," (4,06,660)",43.5
U22841,22841,Anna R. Langford Community Academy," 34,97,950 "," 33,81,421 "," (1,16,529)", 32 , 32 , -   ," 29,14,438 ", 31 , -   ," (1,16,529)",32
U29211,29211,Annie Keller Regional Gifted Magnet School," 26,57,019 "," 25,27,373 "," (1,29,646)", 23 , 23 , -   ," 22,66,454 ", 23 , -   ," (1,29,646)",22.5
U69040,69040,Annunciata," 83,977 ", -   ," (83,977)", -   , -   , -   ," 11,913 ", -   , -   ," (83,977)",0
U69591,69591,Arie Crown School," 1,09,745 ", -   ," (1,09,745)", -   , -   , -   ," 1,60,942 ", -   , -   ," (1,09,745)",0
U23421,23421,Ariel Community Academy," 57,33,801 "," 56,84,139 "," (49,661)", 57 , 60 , 3 ," 52,36,111 ", 58 , -   ," (49,661)",59.5
U25331,25331,Arnold Mireles Academy," 54,80,959 "," 51,81,689 "," (2,99,270)", 49 , 48 , (1)," 50,07,551 ", 51 , -   ," (2,99,270)",48
U69228,69228,Art in Motion Charter School," 33,71,754 "," 41,24,215 "," 7,52,461 ", -   , -   , -   ," 25,70,127 ", -   , -   ," 7,52,461 ",0
U24171,24171,Arthur A Libby School," 47,02,262 "," 45,66,116 "," (1,36,146)", 44 , 44 , -   ," 42,12,611 ", 45 , -   ," (1,36,146)",43.5
U22971,22971,Arthur Dixon School," 58,50,397 "," 54,77,312 "," (3,73,085)", 50 , 47 , (3)," 50,21,648 ", 49 , -   ," (3,73,085)",47
U22541,22541,Arthur E Canty School," 84,68,532 "," 85,92,371 "," 1,23,840 ", 74 , 80 , 6 ," 74,27,376 ", 66 , -   ," 1,23,840 ",80
U26191,26191,Arthur R Ashe Jr Elementary School," 48,97,910 "," 48,55,620 "," (42,290)", 42 , 46 , 4 ," 40,44,858 ", 33 , -   ," (42,290)",46
U10890,10890,Arts," 35,90,227 "," 53,00,642 "," 17,10,415 ", 10 , 10 , -   ," 29,32,901 ", 10 , -   ," 17,10,415 ",10
U32081,32081,Ashburn Community Area School," 61,22,981 "," 57,84,737 "," (3,38,244)", 57 , 57 , -   ," 52,36,772 ", 51 , -   ," (3,38,244)",57
U66191,66191,Asian Human Services - Passages Charter School," 48,15,922 "," 48,14,103 "," (1,819)", -   , -   , -   ," 43,83,957 ", -   , -   ," (1,819)",0
U11210,11210,Assessment," 59,43,361 "," 52,52,671 "," (6,90,690)", 14 , 14 , -   ," 58,01,241 ", 13 , -   ," (6,90,690)",14
U69530,69530,Associated Talmud Torah Of Chicago," 9,72,819 ", -   ," (9,72,819)", -   , -   , -   ," 12,20,631 ", -   , -   ," (9,72,819)",0
U22091,22091,Audubon Elementary School," 57,74,765 "," 52,11,067 "," (5,63,698)", 50 , 49 , (1)," 51,42,015 ", 51 , -   ," (5,63,698)",48.5
U22421,22421,Augustus H Burley Elementary School," 57,48,260 "," 51,87,930 "," (5,60,330)", 43 , 46 , 3 ," 47,43,138 ", 45 , -   ," (5,60,330)",45.5
U69635,69635,Aunt Martha's," 59,853 ", -   ," (59,853)", -   , -   , -   ," 40,320 ", -   , -   ," (59,853)",0
U66411,66411,Austin Business and Entrepreneurship Academy," 5,547 ", -   ," (5,547)", -   , -   , -   , -   , -   , -   ," (5,547)",0
U46621,46621,Austin College and Career Academy High School," 40,25,982 "," 42,76,363 "," 2,50,381 ", 39 , 40 , 1 ," 35,12,349 ", 37 , -   ," 2,50,381 ",39.5
U49141,49141,Austin Polytechnical Academy," 27,853 ", -   ," (27,853)", -   , -   , -   ," 19,196 ", -   , -   ," (27,853)",0
U22101,22101,Avalon Park School," 34,96,621 "," 33,83,817 "," (1,12,804)", 31 , 31 , -   ," 30,61,199 ", 29 , -   ," (1,12,804)",31
U46551,46551,Back of the Yards High School," 1,12,97,636 "," 1,08,62,235 "," (4,35,401)", 105 , 105 , (1)," 98,31,860 ", 102 , -   ," (4,35,401)",104.5
U69553,69553,Bais Yaakov High School Of Chicago," 1,81,837 ", -   ," (1,81,837)", -   , -   , -   ," 44,296 ", -   , -   ," (1,81,837)",0
U26732,26732,Barbara Vick Center - Vick Village," 25,836 "," 25,836 ", -   , -   , -   , -   ," 25,836 ", -   , -   , -   ,0
U26731,26731,Barbara Vick Early Childhood & Family Center," 49,06,861 "," 52,80,806 "," 3,73,945 ", 51 , 51 , -   ," 45,56,639 ", 47 , -   ," 3,73,945 ",50.5
U29321,29321,Beasley Academic Center Magnet," 1,25,54,035 "," 1,20,36,201 "," (5,17,834)", 112 , 117 , 5 ," 1,04,53,021 ", 101 , -   ," (5,17,834)",116.5
U26771,26771,Belmont-Cragin School," 66,33,016 "," 65,78,735 "," (54,281)", 69 , 64 , (5)," 56,98,777 ", 59 , -   ," (54,281)",64
U46421,46421,Benito Juarez High School," 1,87,90,204 "," 1,81,75,879 "," (6,14,325)", 158 , 161 , 3 ," 1,61,53,829 ", 157 , -   ," (6,14,325)",161
U26321,26321,Benjamin E Mays Academy," 49,60,006 "," 49,22,470 "," (37,535)", 49 , 48 , (1)," 41,82,557 ", 44 , -   ," (37,535)",48
U69439,69439,Bernard Zell Anshe Emet Day Sch," 1,31,914 ", -   ," (1,31,914)", -   , -   , -   , -   , -   , -   ," (1,31,914)",0
U24551,24551,Bernhard Moos School," 62,48,208 "," 58,81,522 "," (3,66,686)", 57 , 57 , -   ," 52,70,180 ", 51 , -   ," (3,66,686)",56.5
U69304,69304,Bethseda Lutheran School," 11,130 ", -   ," (11,130)", -   , -   , -   ," 3,386 ", -   , -   ," (11,130)",0
U25371,25371,Beulah Shoesmith School," 40,13,571 "," 38,65,176 "," (1,48,395)", 39 , 36 , (3)," 35,58,094 ", 35 , -   ," (1,48,395)",35.5
U69309,69309,Beverly Montessori School," 24,725 ", -   ," (24,725)", -   , -   , -   , -   , -   , -   ," (24,725)",0
U30071,30071,Blair Early Childhood Center," 60,64,704 "," 63,92,631 "," 3,27,927 ", 70 , 70 , -   ," 56,01,517 ", 70 , -   ," 3,27,927 ",69.5
U69056,69056,Blessed Agnes School," 2,00,195 ", -   ," (2,00,195)", -   , -   , -   ," 22,509 ", -   , -   ," (2,00,195)",0
U69001,69001,Bnos Rabbeinu High School," 1,639 ", -   ," (1,639)", -   , -   , -   , -   , -   , -   ," (1,639)",0
U10110,10110,Board of Trustees," 13,20,357 "," 13,78,906 "," 58,549 ", 9 , 9 , -   ," 13,96,621 ", 8 , -   ," 58,549 ",9
U22371,22371,Bouchet Academy," 81,00,674 "," 81,29,562 "," 28,888 ", 76 , 77 , 1 ," 70,24,954 ", 67 , -   ," 28,888 ",77
U46491,46491,Bowen High School," 56,23,267 "," 54,61,413 "," (1,61,854)", 56 , 59 , 3 ," 48,84,325 ", 52 , -   ," (1,61,854)",58.5
U22311,22311,Brentano Math & Science Academy," 66,66,298 "," 63,91,847 "," (2,74,452)", 62 , 64 , 2 ," 53,75,185 ", 57 , -   ," (2,74,452)",64
U23561,23561,Bret Harte Elementary School," 39,67,313 "," 38,04,658 "," (1,62,654)", 34 , 35 , 1 ," 34,05,216 ", 32 , -   ," (1,62,654)",34.5
U24781,24781,Brian Piccolo Elementary School," 70,78,823 "," 68,32,534 "," (2,46,290)", 75 , 72 , (4)," 57,87,870 ", 67 , -   ," (2,46,290)",71.5
U41071,41071,Brian Piccolo Middle School, -   , -   , -   , -   , -   , -   , 500 , -   , -   , -   ,0
U69202,69202,Brickton Montessori School," 70,204 ", -   ," (70,204)", -   , -   , -   ," 16,485 ", -   , -   ," (70,204)",0
U69209,69209,Bridgeport Catholic Academy School - South," 83,143 ", -   ," (83,143)", -   , -   , -   ," 13,732 ", -   , -   ," (83,143)",0
U65021,65021,Bridgescape Academy Brainerd, -   , -   , -   , -   , -   , -   ," 35,078 ", -   , -   , -   ,0
U65020,65020,Bridgescape Academy Humboldt Park, 571 , -   , (571), -   , -   , -   ," 4,45,560 ", -   , -   , (571),0
U65011,65011,Bridgescape Academy Lawndale, -   , -   , -   , -   , -   , -   ," 31,299 ", -   , -   , -   ,0
U65012,65012,Bridgescape Academy Roseland, -   , -   , -   , -   , -   , -   ," 15,221 ", -   , -   , -   ,0
U26451,26451,Brighton Park Elementary School," 51,70,202 "," 50,18,435 "," (1,51,767)", 48 , 48 , -   ," 44,17,887 ", 44 , -   ," (1,51,767)",48
U26181,26181,Bronzeville Classical Elementary School," 31,13,178 "," 34,04,089 "," 2,90,911 ", 30 , 33 , 3 ," 26,49,298 ", 24 , -   ," 2,90,911 ",32.5
U55191,55191,Bronzeville Scholastic Academy High School," 32,99,715 "," 28,54,496 "," (4,45,219)", 26 , 23 , (3)," 32,38,510 ", 31 , -   ," (4,45,219)",23
U69357,69357,Brother Rice High School B," 3,77,976 ", -   ," (3,77,976)", -   , -   , -   ," 11,935 ", -   , -   ," (3,77,976)",0
U12610,12610,Budget & Management Office," 1,59,68,373 "," 79,71,920 "," (79,96,453)", 42 , 74 , 32 ," 51,86,382 ", 43 , -   ," (79,96,453)",74
U22431,22431,Burnham Elementary Inclusive Academy," 64,60,294 "," 62,96,462 "," (1,63,832)", 64 , 66 , 2 ," 57,37,326 ", 61 , -   ," (1,63,832)",65.5
U29021,29021,Burnside Scholastic Academy," 57,52,479 "," 55,24,520 "," (2,27,960)", 55 , 52 , (3)," 50,65,796 ", 53 , -   ," (2,27,960)",52
U12280,12280,Business Diversity," 8,67,711 "," 11,04,168 "," 2,36,457 ", 8 , 9 , 1 ," 8,33,829 ", 7 , -   ," 2,36,457 ",9
U66075,66075,CICS - Loomis Primary," 63,95,415 "," 55,10,025 "," (8,85,390)", -   , -   , -   ," 59,48,807 ", -   , -   ," (8,85,390)",0
U11890,11890,CPS Warehouse - City Wide," 34,85,539 "," 34,83,573 "," (1,966)", 31 , 31 , -   ," 32,63,609 ", 31 , -   ," (1,966)",31
U22511,22511,Caldwell Academy Of Mathematics Science & Technology," 36,16,510 "," 33,13,132 "," (3,03,378)", 32 , 32 , -   ," 30,54,262 ", 32 , -   ," (3,03,378)",32
U26821,26821,Calmeca Academy of Fine Arts and Dual Language," 78,99,434 "," 77,23,299 "," (1,76,135)", 74 , 75 , 1 ," 70,19,144 ", 76 , -   ," (1,76,135)",75
U69224,69224,Cambridge Classical Academy," 6,934 ", -   ," (6,934)", -   , -   , -   ," 3,688 ", -   , -   ," (6,934)",0
U63141,63141,Camelot - Chicago Excel Academy," 48,38,388 "," 48,43,748 "," 5,359 ", 4 , 4 , -   ," 43,23,560 ", 3 , -   ," 5,359 ",4
U63142,63142,Camelot Excel - Englewood HS," 37,13,477 "," 37,74,503 "," 61,026 ", -   , -   , -   ," 39,68,621 ", -   , -   ," 61,026 ",0
U63143,63143,Camelot Excel - Southshore HS," 29,70,690 "," 29,48,420 "," (22,270)", 1 , 1 , -   ," 29,47,623 ", 1 , -   ," (22,270)",1
U63144,63144,Camelot Excel - Southwest HS," 20,96,758 "," 21,20,462 "," 23,704 ", 1 , 1 , -   ," 18,78,197 ", 1 , -   ," 23,704 ",1
U66011,66011,Camelot Safe ES," 23,55,802 "," 12,69,842 "," (10,85,960)", -   , -   , -   ," 17,05,426 ", -   , -   ," (10,85,960)",0
U66012,66012,Camelot Safe HS, 571 , -   , (571), -   , -   , -   ," 6,128 ", -   , -   , (571),0
U69005,69005,Cardinal Bernadine Early Childhood," 28,041 ", -   ," (28,041)", -   , -   , -   , -   , -   , -   ," (28,041)",0
U46281,46281,Carl Schurz High School," 1,91,67,397 "," 1,85,88,557 "," (5,78,840)", 166 , 171 , 5 ," 1,78,63,798 ", 169 , -   ," (5,78,840)",170.5
U24201,24201,Carl Von Linne Elementary School," 72,40,461 "," 68,83,222 "," (3,57,239)", 60 , 62 , 2 ," 64,05,552 ", 61 , -   ," (3,57,239)",62
U25941,25941,Carrie Jacobs Bond School," 48,26,794 "," 44,01,066 "," (4,25,728)", 46 , 44 , (2)," 39,42,312 ", 41 , -   ," (4,25,728)",44
U22571,22571,Carroll-Rosenwald Specialty Elementary School," 56,52,817 "," 56,74,749 "," 21,933 ", 52 , 54 , 2 ," 51,08,425 ", 52 , -   ," 21,933 ",54
U26541,26541,Carter G Woodson South School," 45,08,467 "," 45,71,067 "," 62,600 ", 44 , 46 , 2 ," 39,29,202 ", 43 , -   ," 62,600 ",46
U46381,46381,Carver Military High School," 63,50,261 "," 61,26,882 "," (2,23,379)", 56 , 55 , (1)," 57,88,602 ", 55 , -   ," (2,23,379)",55
U31211,31211,Casimir Pulaski International Academy Elementary School," 92,66,757 "," 84,17,112 "," (8,49,645)", 82 , 80 , (2)," 79,19,896 ", 77 , -   ," (8,49,645)",80
U22461,22461,Castellanos School," 7,464 ", -   ," (7,464)", -   , -   , -   , -   , -   , -   ," (7,464)",0
U66433,66433,Catalyst - Maria Charter School," 1,57,39,006 "," 1,65,43,897 "," 8,04,891 ", -   , -   , -   ," 1,36,77,710 ", -   , -   ," 8,04,891 ",0
U66432,66432,Catalyst Elementary School - Circle Rock," 68,32,260 "," 67,91,127 "," (41,134)", -   , -   , -   ," 62,71,035 ", -   , -   ," (41,134)",0
U69302,69302,Catherine Cook School," 1,77,737 ", -   ," (1,77,737)", -   , -   , -   , -   , -   , -   ," (1,77,737)",0
U25151,25151,Cesar E Chavez Multicultural Academic Center," 1,07,96,574 "," 1,00,64,262 "," (7,32,312)", 96 , 95 , (1)," 95,28,443 ", 97 , -   ," (7,32,312)",94.5
U53041,53041,Charles Allen Prosser Career Academy," 1,49,19,963 "," 1,38,03,727 "," (11,16,236)", 127 , 131 , 4 ," 1,36,32,016 ", 133 , -   ," (11,16,236)",130.5
U23901,23901,Charles Evans Hughes School," 33,93,817 "," 35,40,206 "," 1,46,390 ", 32 , 31 , (1)," 27,76,519 ", 31 , -   ," 1,46,390 ",31
U23531,23531,Charles G Hammond School," 48,32,970 "," 44,84,484 "," (3,48,486)", 48 , 45 , (3)," 44,68,514 ", 46 , -   ," (3,48,486)",45
U22901,22901,Charles Gates Dawes School," 1,18,10,963 "," 1,14,99,825 "," (3,11,138)", 104 , 106 , 2 ," 99,42,994 ", 92 , -   ," (3,11,138)",105.5
U26621,26621,Charles H Wacker School," 39,17,850 "," 40,27,492 "," 1,09,642 ", 35 , 37 , 2 ," 34,54,571 ", 35 , -   ," 1,09,642 ",37
U31151,31151,Charles Kozminski Community Academy School," 36,75,099 "," 34,56,516 "," (2,18,583)", 34 , 34 , -   ," 28,67,140 ", 31 , -   ," (2,18,583)",34
U23821,23821,Charles N Holden School," 54,56,493 "," 49,98,773 "," (4,57,720)", 50 , 50 , -   ," 47,35,956 ", 50 , -   ," (4,57,720)",50
U46291,46291,Charles P Steinmetz College Prep School," 1,51,32,677 "," 1,40,12,216 "," (11,20,461)", 128 , 123 , (5)," 1,39,48,405 ", 132 , -   ," (11,20,461)",123
U22881,22881,Charles R Darwin School," 66,19,143 "," 65,04,125 "," (1,15,018)", 65 , 68 , 3 ," 57,95,941 ", 55 , -   ," (1,15,018)",68
U23721,23721,Charles R Henderson School," 35,52,886 "," 33,61,194 "," (1,91,692)", 29 , 30 , 1 ," 31,79,949 ", 29 , -   ," (1,91,692)",30
U22361,22361,Charles S Brownell School," 26,81,496 "," 27,05,371 "," 23,876 ", 25 , 25 , -   ," 22,59,994 ", 23 , -   ," 23,876 ",25
U22931,22931,Charles S Deneen School," 55,36,376 "," 56,19,393 "," 83,018 ", 60 , 61 , 1 ," 51,40,957 ", 56 , -   ," 83,018 ",61
U31221,31221,Charles Sumner Mathematics & Science Community Academy," 41,86,674 "," 40,06,810 "," (1,79,864)", 37 , 38 , 1 ," 35,65,915 ", 35 , -   ," (1,79,864)",38
U23031,23031,Charles W Earle School," 44,90,122 "," 44,93,227 "," 3,105 ", 44 , 45 , 1 ," 40,96,550 ", 43 , -   ," 3,105 ",45
U69593,69593,Cheder Lubavitch," 31,045 ", -   ," (31,045)", -   , -   , -   ," 58,539 ", -   , -   ," (31,045)",0
U69099,69099,Cheder Lubavitch Hebrew School," 1,36,648 ", -   ," (1,36,648)", -   , -   , -   ," 76,892 ", -   , -   ," (1,36,648)",0
U45211,45211,Chicago Academy Elementary School," 63,70,149 "," 63,21,812 "," (48,337)", 62 , 63 , 1 ," 53,72,446 ", 56 , -   ," (48,337)",62.5
U46481,46481,Chicago Academy High School," 62,37,673 "," 62,22,298 "," (15,374)", 55 , 57 , 2 ," 56,52,570 ", 54 , -   ," (15,374)",56.5
U69571,69571,Chicago Academy for the Arts," 45,894 ", -   ," (45,894)", -   , -   , -   , -   , -   , -   ," (45,894)",0
U66671,66671,Chicago Collegiate," 53,91,504 "," 52,08,780 "," (1,82,724)", -   , -   , -   ," 52,92,678 ", -   , -   ," (1,82,724)",0
U69164,69164,Chicago Free School," 25,788 ", -   ," (25,788)", -   , -   , -   , 598 , -   , -   ," (25,788)",0
U69205,69205,Chicago Friends Schools," 17,825 ", -   ," (17,825)", -   , -   , -   , 112 , -   , -   ," (17,825)",0
U47091,47091,Chicago High School For Agricultural Sciences," 1,18,44,011 "," 1,18,19,703 "," (24,308)", 109 , 115 , 5 ," 1,02,50,542 ", 94 , -   ," (24,308)",114.6
U63051,63051,Chicago High School for the Arts (ChiArts)," 67,78,930 "," 72,37,027 "," 4,58,097 ", 6 , 6 , -   ," 75,39,399 ", 6 , -   ," 4,58,097 ",6
U69012,69012,Chicago Hope Academy," 2,48,920 ", -   ," (2,48,920)", -   , -   , -   ," 1,06,005 ", -   , -   ," (2,48,920)",0
U66371,66371,Chicago International Charter School (CICS)- Avalon/South Shore Campus," 60,81,559 "," 66,04,318 "," 5,22,759 ", -   , -   , -   ," 53,67,269 ", -   , -   ," 5,22,759 ",0
U66231,66231,Chicago International Charter School (CICS)- Basil Campus," 82,34,121 "," 82,97,388 "," 63,267 ", -   , -   , -   ," 76,08,689 ", -   , -   ," 63,267 ",0
U66071,66071,Chicago International Charter School (CICS)- Bucktown Campus," 87,25,535 "," 91,36,613 "," 4,11,078 ", -   , -   , -   ," 75,75,914 ", -   , -   ," 4,11,078 ",0
U66061,66061,Chicago International Charter School (CICS)- Longwood Campus," 1,86,87,588 "," 1,85,81,254 "," (1,06,334)", -   , -   , -   ," 1,65,55,656 ", -   , -   ," (1,06,334)",0
