(Indicator name),,,,"Population (residents), 2017-2021","Population (residents), 2016-2020","Population, Infants (0-4 years) (residents), 2017-2021","Population, Infants (0-4 years) (residents), 2016-2020","Population, Juveniles (5-17 years) (residents), 2017-2021","Population, Juveniles (5-17 years) (residents), 2016-2020","Population, Non-Hispanic Black (residents), 2017-2021","Population, Non-Hispanic Black (residents), 2016-2020","Population, Hispanic or Latino (residents), 2017-2021","Population, Hispanic or Latino (residents), 2016-2020",,,"Low birthweight (count of births), 2013-2017","Low birthweight rate (% of births), 2013-2017","Very low birthweight (count of births), 2013-2017","Very low birthweight rate (% of births), 2013-2017","Uninsured residents (residents), 2017-2021","Uninsured rate (% of residents), 2017-2021","Early and adequate prenatal care (count of births), 2013-2017","Early and adequate prenatal care rate (% of births), 2013-2017","Vacant (% of housing units), 2017-2021","Single-parent households (% of households), 2017-2021","Community belonging rate (% of adults), 2016-2018","Community belonging (count of adults), 2016-2018","Community belonging (count of adults), 2020-2021","Community belonging rate (% of adults), 2020-2021","Food stamps (SNAP) (% of households), 2017-2021","Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2017-2021","Mean age at first birth (age), 2013-2017","Mean age at first birth (age), 2012-2016","Rent-burdened (% of renter-occupied housing units), 2017-2021","Severely rent-burdened (% of renter-occupied housing units), 2017-2021","Homicide mortality (count of deaths), 2015-2019","Homicide mortality rate (per 100,000 population), 2015-2019","Firearm-related homicide mortality (count of deaths), 2015-2019","Firearm-related homicide mortality rate (per 100,000 population), 2015-2019","Drug-induced mortality (count of deaths), 2015-2019","Drug-induced mortality rate (per 100,000 population), 2015-2019","Drug overdose mortality (count of deaths), 2015-2019","Drug overdose mortality rate (per 100,000 population), 2015-2019"
Community area,Morgan Park,75,21714," 22,207 "," 21,109 "," 1,089 "," 1,161 "," 3,881 "," 3,543 "," 13,646 "," 12,744 "," 1,018 "," 1,048 ",-87.669062,41.689729,137,10.8,34,2.7,1404.695778,6.499145785,772,69.7,7.065120686,8.001481332,67.5,11000,9900,62.2909876,15.72094027,56.01368504,27.967742,27.967742,46.0426736,30.7087327,33,32.9,32,32.2,16,13.4,16,13.4
Community area,South Deering,51,14125," 15,212 "," 15,151 ", 663 , 630 ," 3,180 "," 3,220 "," 9,490 "," 9,606 "," 4,876 "," 4,714 ",-87.570058,41.690639,102,10.7,22,2.3,1338.228103,8.470312395,465,56.9,13.16711225,16.37202501,59.8,9600,2400,21.8172553,36.62894508,27.46540432,27,27,62.1393399,40.13542327,21,29.9,20,28.5,19,26.3,18,25
Community area,Kenwood,39,14716," 14,411 "," 14,118 ", 927 ," 1,082 "," 2,013 "," 1,856 "," 9,784 "," 9,505 ", 463 , 360 ,-87.596186,41.808918,101,10.3,27,2.8,1076.363285,7.400709359,580,71.2,10.6545317,8.87228177,78.1,10800,5400,51.60644312,24.18889937,50.3925004,30.53125,30.53125,52.12559155,27.32032973,18,18.6,13,13.3,8,7.7,8,7.7
Community area,Humboldt Park,23,53832," 55,400 "," 54,032 "," 3,384 "," 3,582 "," 10,847 "," 11,104 "," 18,783 "," 17,901 "," 29,294 "," 29,926 ",-87.720917,41.90008,473,10.2,105,2.3,8538.560742,14.89062484,2581,65.2,9.0741496,15.68857625,59.2,24000,10400,32.14072553,32.45316583,34.05459597,28.096774,28.6,54.37026229,29.35434146,85,27.4,74,23.6,163,63,158,61.1
Community area,Near West Side,28,67817," 64,955 "," 62,766 "," 3,790 "," 3,741 "," 5,637 "," 5,252 "," 15,948 "," 15,210 "," 6,531 "," 6,353 ",-87.663513,41.874016,484,10,93,1.9,2641.070861,4.038200715,3153,77.1,10.94029238,5.141263234,57.3,30100,19200,37.14417459,11.32511816,69.72062187,32.055556,32.055556,38.29796848,20.36953932,30,9,24,6.4,94,39.5,92,38.6
Community area,Jefferson Park,11,26201," 27,156 "," 27,178 "," 1,578 "," 1,465 "," 4,189 "," 4,270 ", 695 , 713 ," 6,768 "," 6,620 ",-87.771165,41.978836,153,9.8,29,1.9,2113.144836,7.801143114,1119,80.7,7.729958992,3.500573915,64.1,15000,13600,52.51604687,9.460692566,57.34843653,29.6,29.172414,37.89021138,11.85599201,3,2.5,3,2.5,27,21.4,27,21.4
Community area,Near South Side,33,27044," 25,096 "," 24,506 "," 1,015 "," 1,058 "," 2,065 "," 1,665 "," 5,772 "," 5,793 "," 1,317 "," 1,009 ",-87.620344,41.857196,206,9.2,42,1.9,959.7278403,3.733649906,1471,79.9,4.530942443,3.472372648,61.9,14000,11800,55.67215555,11.79773229,72.59776682,31.5,31.5,31.67944145,13.08666022,4,3.5,2,2.2,22,19.8,22,19.8
Community area,Ashburn,70,41280," 44,402 "," 43,085 "," 2,325 "," 2,648 "," 9,084 "," 8,478 "," 19,140 "," 19,419 "," 20,555 "," 18,398 ",-87.708363,41.745756,220,9.2,40,1.7,5007.269806,11.01690479,1519,71.2,3.049807611,6.823246878,58.7,20000,18800,52.44470033,15.2071617,73.81833238,28.533333,28.533333,60.13261739,35.26770172,44,20.9,40,19,22,10.3,22,10.3
Community area,Near North Side,8,95467," 89,246 "," 86,258 "," 2,576 "," 2,755 "," 3,699 "," 3,321 "," 6,496 "," 6,443 "," 5,632 "," 5,400 ",-87.633318,41.899611,461,9.2,78,1.6,2014.868246,2.230596458,3066,76.9,15.5863573,1.738027663,63,45700,34100,40.53948567,4.480507966,85.08344664,32.457143,33.378378,33.0755891,15.99936908,16,3.2,13,2.4,58,13.6,55,13
Community area,New City,61,43510," 39,381 "," 38,874 "," 2,793 "," 2,793 "," 7,861 "," 8,058 "," 8,978 "," 8,996 "," 24,519 "," 24,011 ",-87.659171,41.809017,329,9,76,2.1,7701.255035,19.60128396,1976,60.3,15.64383568,11.62812731,58.6,18800,14000,56.647094,32.70372359,48.14201895,27.566667,27.103448,47.74903613,24.81362439,91,38.3,78,31.6,70,36.6,70,36.6
