,ward,year,size,crime_capita
189,18,2014,4647,0.08449090909090909
190,18,2015,4347,0.07903636363636364
191,18,2016,4776,0.08683636363636364
192,18,2017,4473,0.08132727272727273
193,18,2018,4167,0.07576363636363637
194,18,2019,3801,0.06910909090909091
195,18,2020,3046,0.055381818181818185
196,18,2021,2892,0.05258181818181818
197,18,2022,3234,0.0588
198,19,2012,2946,0.05356363636363636
199,19,2013,2567,0.046672727272727275
200,19,2014,2383,0.04332727272727273
201,19,2015,2406,0.043745454545454546
202,19,2016,2375,0.04318181818181818
203,19,2017,2275,0.041363636363636366
204,19,2018,2244,0.0408
205,19,2019,2022,0.036763636363636366
206,19,2020,1952,0.035490909090909094
207,19,2021,1906,0.03465454545454545
208,19,2022,2042,0.037127272727272724
209,20,2012,10995,0.1999090909090909
210,20,2013,9669,0.1758
211,20,2014,8475,0.15409090909090908
212,20,2015,8110,0.14745454545454545
213,20,2016,7750,0.1409090909090909
214,20,2017,7766,0.1412
215,20,2018,7608,0.13832727272727272
216,20,2019,8073,0.14678181818181818
217,20,2020,6776,0.1232
218,20,2021,6715,0.1220909090909091
219,20,2022,7278,0.13232727272727274
220,21,2012,9932,0.18058181818181818
221,21,2013,9638,0.17523636363636363
222,21,2014,8636,0.1570181818181818
223,21,2015,8286,0.15065454545454546
224,21,2016,8248,0.14996363636363635
225,21,2017,8063,0.1466
226,21,2018,8273,0.1504181818181818
227,21,2019,8327,0.1514
228,21,2020,6723,0.12223636363636364
229,21,2021,6418,0.1166909090909091
230,21,2022,7271,0.1322
231,22,2012,3957,0.07194545454545455
232,22,2013,3582,0.06512727272727273
233,22,2014,3307,0.06012727272727273
234,22,2015,3097,0.056309090909090906
235,22,2016,3161,0.05747272727272727
236,22,2017,3063,0.05569090909090909
237,22,2018,3340,0.06072727272727273
238,22,2019,3336,0.060654545454545454
239,22,2020,2698,0.049054545454545455
240,22,2021,2541,0.0462
241,22,2022,2927,0.05321818181818182
242,23,2012,4068,0.07396363636363637
243,23,2013,3675,0.06681818181818182
244,23,2014,3134,0.05698181818181818
245,23,2015,3114,0.05661818181818182
246,23,2016,3377,0.0614
247,23,2017,3111,0.056563636363636365
248,23,2018,3166,0.057563636363636365
249,23,2019,2482,0.045127272727272724
250,23,2020,2144,0.03898181818181818
251,23,2021,2203,0.040054545454545454
252,23,2022,2525,0.045909090909090906
253,24,2012,13676,0.24865454545454546
254,24,2013,13324,0.24225454545454544
255,24,2014,12314,0.22389090909090908
256,24,2015,12090,0.21981818181818183
257,24,2016,12297,0.2235818181818182
258,24,2017,12603,0.22914545454545454
259,24,2018,12674,0.23043636363636363
260,24,2019,11237,0.2043090909090909
261,24,2020,8851,0.16092727272727272
262,24,2021,8106,0.14738181818181817
263,24,2022,8067,0.14667272727272726
264,25,2012,4814,0.08752727272727273
265,25,2013,4305,0.07827272727272727
266,25,2014,3877,0.07049090909090909
267,25,2015,3679,0.06689090909090908
268,25,2016,3784,0.0688
269,25,2017,3885,0.07063636363636364
270,25,2018,3869,0.07034545454545454
271,25,2019,4826,0.08774545454545454
272,25,2020,3831,0.06965454545454546
273,25,2021,4156,0.07556363636363636
274,25,2022,5448,0.09905454545454545
275,26,2012,5779,0.10507272727272728
276,26,2013,4687,0.08521818181818182
277,26,2014,4006,0.07283636363636363
278,26,2015,3682,0.06694545454545454
279,26,2016,4075,0.0740909090909091
280,26,2017,3852,0.07003636363636363
281,26,2018,3587,0.06521818181818181
282,26,2019,3834,0.06970909090909091
283,26,2020,3379,0.061436363636363636
284,26,2021,3244,0.058981818181818184
285,26,2022,3812,0.0693090909090909
286,27,2012,11657,0.21194545454545455
287,27,2013,10843,0.19714545454545454
288,27,2014,9747,0.17721818181818183
289,27,2015,9014,0.1638909090909091
290,27,2016,10239,0.18616363636363636
291,27,2017,10076,0.1832
292,27,2018,11274,0.20498181818181818
293,27,2019,12499,0.22725454545454546
294,27,2020,9079,0.16507272727272726
295,27,2021,9382,0.1705818181818182
296,27,2022,11039,0.20070909090909092
297,28,2012,15685,0.2851818181818182
298,28,2013,15633,0.2842363636363636
299,28,2014,14558,0.2646909090909091
300,28,2015,13203,0.24005454545454546
301,28,2016,12584,0.2288
302,28,2017,11311,0.20565454545454545
303,28,2018,11964,0.21752727272727274
304,28,2019,13005,0.23645454545454545
305,28,2020,10675,0.1940909090909091
306,28,2021,10029,0.18234545454545453
307,28,2022,9970,0.18127272727272728
308,29,2012,8178,0.1486909090909091
309,29,2013,7359,0.1338
310,29,2014,6754,0.1228
311,29,2015,6531,0.11874545454545454
312,29,2016,6313,0.11478181818181818
313,29,2017,5704,0.1037090909090909
314,29,2018,5715,0.10390909090909091
315,29,2019,5954,0.10825454545454545
316,29,2020,5563,0.10114545454545455
317,29,2021,5065,0.09209090909090908
318,29,2022,5445,0.099
319,30,2012,4785,0.087
320,30,2013,4273,0.07769090909090909
321,30,2014,3817,0.0694
322,30,2015,3643,0.06623636363636363
323,30,2016,3543,0.06441818181818182
324,30,2017,3452,0.06276363636363637
325,30,2018,3046,0.055381818181818185
326,30,2019,2686,0.048836363636363636
327,30,2020,2300,0.04181818181818182
328,30,2021,2220,0.040363636363636365
329,30,2022,2516,0.04574545454545455
330,31,2012,4773,0.08678181818181818
331,31,2013,4323,0.0786
332,31,2014,3849,0.06998181818181819
333,31,2015,3607,0.06558181818181819
334,31,2016,3538,0.06432727272727273
335,31,2017,3569,0.0648909090909091
336,31,2018,3135,0.057
337,31,2019,2910,0.05290909090909091
338,31,2020,2572,0.04676363636363636
339,31,2021,2414,0.04389090909090909
340,31,2022,2743,0.04987272727272727
341,32,2012,5574,0.10134545454545454
342,32,2013,4732,0.08603636363636363
343,32,2014,4492,0.08167272727272727
344,32,2015,4239,0.07707272727272728
345,32,2016,4756,0.08647272727272727
346,32,2017,4789,0.08707272727272727
347,32,2018,4199,0.07634545454545455
348,32,2019,3274,0.05952727272727273
349,32,2020,2505,0.04554545454545455
350,32,2021,2429,0.04416363636363636
351,32,2022,2954,0.05370909090909091
352,33,2012,3383,0.06150909090909091
353,33,2013,2891,0.05256363636363636
354,33,2014,2534,0.04607272727272727
355,33,2015,2514,0.04570909090909091
356,33,2016,2498,0.045418181818181816
357,33,2017,2622,0.04767272727272727
358,33,2018,2630,0.047818181818181815
359,33,2019,2390,0.043454545454545454
