ca_id,comm_area,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct
53,West Pullman,35.88581024,49.2,-28.772954241589126,97.05860141972512,49.83008608971454,79.28317041751913,46380.45541,22615.252,1031.097561,81.44041450777202,77.40932642487046,0.909574468,0.874165872
68,Englewood,35.76229508,55.3,-39.41375366714733,96.0261592261229,38.29874199554929,75.05039724890312,22228.26087,15034.36201,873.4398782,74.84630613733458,66.27070959674899,1.0,1.0
2,West Ridge,35.61764109,36.0,5.359362832825585,31.334509858689998,49.45088429846501,93.69175075098205,57937.30032,27671.16952,1181.841238,92.00543539802966,85.89438719661797,1.0,1.0
20,Hermosa,35.34880148,50.3,-10.576780139735394,87.0439925743643,55.12671070241333,94.05591667319288,54773.13975,24226.59958,1010.831889,85.88282078472959,81.74708377518559,1.0,1.0
19,Belmont Cragin,35.22748666,52.4,-0.03583128583128583,82.33360410214755,51.12072904503224,94.86307321796559,58138.0978,21611.65496,1064.839572,85.36460554371003,78.23880597014924,1.0,1.0
4,Lincoln Square,35.12663571,15.0,-9.153318077803203,20.814993954050788,66.19347037484886,94.55628219648533,80899.83877,49797.24946,1337.445501,92.75453168259938,90.82693412735726,1.0,1.0
8,Near North Side,34.6875,12.1,44.8695938800456,13.018185629683979,70.98370106388555,97.42181270488173,109049.1788,105016.5142,2005.399702,86.25477993551773,85.24105870885506,0.999735737,1.0
1,Rogers Park,34.65535076,30.9,-12.37477159599269,46.00039537767554,57.696385888611324,95.32457014702219,46244.10377,29682.50362,1061.667724,86.84569350806757,81.3953488372093,1.0,1.0
5,North Center,34.31010125,4.0,10.09249098604797,14.51496873443639,61.903049084168,96.78630492111027,133537.464,77950.66977,1520.46695,91.92954256245396,89.29743486705513,1.0,1.0
14,Albany Park,34.26150833,38.2,-16.05931835920562,51.12215909090909,57.47970779220779,93.31003318505967,69397.59036,32298.08478,1173.230594,89.60433541168929,83.84709515762485,1.0,1.0
46,South Chicago,34.22471534,43.8,-29.26728158358379,95.89685425492877,47.142809487273574,83.68949900934051,39798.13665,19442.66868,815.7971014,84.36053372061359,83.30761550331306,1.0,1.0
36,Oakland,33.71515679,31.3,11.27659574468085,92.49964147425786,52.645919977054355,80.11441024244075,36837.60684,28101.43683,795.6349206,86.66459434255518,82.99658066521603,0.997116645,0.091471055
26,West Garfield Park,33.69940978,47.4,-24.266909943959337,95.89423251864879,40.83934744375038,75.2004752004752,29443.39623,14759.95688,1029.02439,66.87965921192757,62.58938080024342,1.0,1.0
21,Avondale,33.56555024,28.5,-15.843836315948288,56.07869379014989,61.937901498929335,95.01728608470181,73616.00306,35759.78129,1205.620704,88.3317327479764,84.28453834545205,1.0,1.0
57,Archer Heights,33.37723214,53.3,12.274596646630814,80.57341313825464,48.04551836252124,91.52568440479853,48793.10345,21399.10522,920.3125,81.64785010809513,78.35695411962527,0.994886727,0.439368999
52,East Side,33.32199646,43.9,-8.1554136895954,86.63421162750896,44.46501123038764,91.85117667621299,52003.37755,21933.7836,850.4032798,88.9353689463164,85.71327761279268,0.715264493,0.753791709
42,Woodlawn,33.20743754,37.8,-9.824263457136528,85.15687494444938,48.75655959470269,82.43022950748883,27540.98361,20824.41827,960.7714702,79.90871921650661,73.29086241323571,0.99905575,0.792316057
