,School_ID,Wards
538,400165,46
539,610544,15
540,610060,23
541,609738,34
542,400089,3
543,609694,15
544,610086,22
545,400043,46
546,400024,2
547,400115,31
548,610305,7
549,609902,22
550,400171,22
551,610027,13
552,609828,40
553,609845,43
554,610102,31
555,610202,23
556,609792,20
557,610155,38
558,609876,1
559,610015,26
560,610257,46
561,610237,9
562,400124,9
563,400057,23
564,609799,18
565,609713,33
566,609919,4
567,610523,29
568,610120,6
569,609945,16
570,610101,11
571,610074,12
572,609734,29
573,609864,13
574,609708,17
575,400051,11
576,400080,8
577,610066,43
578,609764,26
579,609754,9
580,400035,5
581,609879,30
582,610019,4
583,610386,4
584,610295,22
585,609925,23
586,609795,7
587,609954,14
588,400156,43
589,609833,35
