comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
Jefferson Park,11,26201,-87.771165,41.978836,-0.058380925561732806,-0.4016786970923852,1.17801430656306,-0.5751200474667227,-0.8483036787960841,0.25603336614396555,0.6608015861466584,-0.8542261832216541,0.12479472860137225,-0.8044520625595811,-0.8867877487039086,-0.3431969922294297
Near South Side,33,27044,-87.620344,41.857196,-0.23466842627755274,-1.329230629945202,1.101933701316379,-1.1061851717528104,-0.852743608872949,0.04515268230519162,0.9575501078770823,-0.6961653414670742,0.9075770385083791,-1.413029338440897,-0.8465812736110505,-0.4258918278301841
Ashburn,70,41280,-87.708363,41.745756,-0.23466842627755274,0.33164421351536455,0.27455711925872067,-1.3520666923990272,-0.3251911667231491,-0.26158285782393426,0.6540933316401696,-0.4655756442046495,0.9702314049808715,1.3750237530277485,-0.14698860699531893,-0.916892414209664
Near North Side,8,95467,-87.633318,41.899611,-0.23466842627755274,-1.6719872270875002,0.8166314316413246,0.7291117625197743,-1.1257941233254143,0.1505930242245789,-0.4652771366918554,-1.1910506547466386,1.5484949742073706,-1.2762244425678497,-0.8586432161389079,-0.7463343157831079
New City,61,43510,-87.659171,41.809017,-0.29343092651615904,2.289227689208524,-0.7620411272273113,0.7386536834666995,0.4312760212856906,-0.2711683434529696,1.0492172756298896,0.717768084078723,-0.3477913248311995,0.16158866626617624,0.5526040596204126,0.44240394597773836
Montclare,18,14412,-87.798033,41.929306,-0.3228121766354622,-0.1323934807966968,0.5598593889337752,-0.7295261037213844,-0.04437811030701042,1.5213174691766116,0.22784518399188936,-0.49646508539883255,1.102039849996837,1.9848745507336603,-0.5168881778496137,-0.48274452730570294
Rogers Park,1,52772,-87.670171,42.00963,-0.35219342675476534,1.076720622114212,0.008275000895336697,-0.04152286308749568,-0.7013506078563684,0.16017850985361423,-0.5294765927114414,-0.3347690943669326,0.13437333416316855,0.2969633623613277,-0.641528250637474,-0.23982844772848655
Armour Square,34,13847,-87.633976,41.842083,-0.35219342675476534,-0.1645545391331203,-0.18192651222136633,-0.7481446018338637,-0.43759489833685816,-0.12738605901744163,0.35039879242742294,0.2566771020239966,-0.2460485223900475,-0.3661035564522243,-0.6535901931653314,-1.01509253148556
Uptown,3,52255,-87.655899,41.965822,-0.38157467687406904,0.013277518759897022,0.6169198428687855,-0.5668016318170825,-0.9178129697114901,0.2847898230310722,0.011086166087990026,-0.4507444313752477,0.07975854178490115,-0.1108813300169602,-0.725961848332476,-0.18814417547801499
Brighton Park,58,45141,-87.698859,41.817364,-0.38157467687406904,1.5836437599762228,-0.18192651222136633,-0.39794121856036907,0.04888526789737172,-0.37660868537235687,-1.35054427184457,0.19905208534318422,0.03806640207438697,0.25586115169226137,-0.40833069509889675,-0.8290291513838625
Lower West Side,31,33716,-87.66757,41.850277,-0.44033717711267534,0.8112517120241406,0.2079865896678743,-0.055916049638940694,-0.41952609516280276,1.0324577020958172,-0.9698953238328955,-0.3982950489350333,0.22558544474756154,-0.8868452458695304,-0.5691565954703293,-0.5654393629064574
Belmont Cragin,19,78151,-87.765502,41.927275,-0.5284809274705853,1.7606567551930896,0.36965787581707216,-0.617408283913727,-0.10240522084162658,-1.153033021324208,-0.12426845538036857,-0.06493711738954105,-0.097580640264819,0.5317931422309048,-0.5852391855074726,-0.47240767285560864
