,school_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,match_id,teachers_per_100_stu,help_per_100_stu,salary_per_teach,Student Attendance Rate,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Teacher Retention Rate
12,CICS - Longwood Campus,63.0,1.0,1.0,0.5,3427087,400033.0,5.07655116841257,0.201450443190975,54398.206349206346,84.5,3.3,65.6,0.0,7.6
13,CICS - Northtown  Campus,64.0,2.0,2.0,0.5,2357776,400034.0,7.182940516273851,0.5050505050505051,36840.25,98.4,2.7,8.9,0.8,0.0
14,Chicago Math & Sci Elem Charter,48.0,2.0,0.4,0.2,1611375,400035.0,7.986688851913477,0.4326123128119801,33570.3125,97.2,3.0,13.2,1.6,80.7
15,Hope Learning Academy,39.0,1.0,1.0,1.0,665594,400043.0,16.386554621848738,1.2605042016806722,17066.51282051282,,,,,
16,Perspectives Chtr - Leadership Acad,49.0,0.0,1.95,0.0,1146355,400061.0,7.620528771384137,0.3032659409020217,23395.0,83.6,4.0,72.8,0.8,0.0
17,Perspectives Chtr - Joslin Campus,39.0,0.0,5.0,2.26,904148,400064.0,10.684931506849315,1.989041095890411,23183.28205128205,79.2,4.1,87.7,1.0,0.0
18,Perspectives Chtr -  IIT Campus,54.0,0.0,2.0,0.0,1076768,400066.0,13.267813267813269,0.4914004914004914,19940.14814814815,72.1,4.6,82.4,1.3,0.0
19,Providence-Englewood Elem Charter,36.0,1.0,1.0,0.0,1753012,400071.0,8.51063829787234,0.4728132387706856,48694.77777777778,,,,,
20,Urban Prep Chtr Acad Englewood HS,23.0,1.0,0.5,0.5,730642,400086.0,14.838709677419354,1.2903225806451613,31767.043478260868,,,,,
21,CICS - Bond Campus,15.0,0.0,0.0,0.0,824272,400092.0,5.905511811023622,0.0,54951.46666666667,,,,,
22,Urban Prep Chtr Acad Bronzeville HS,17.0,4.0,0.3,0.3,855859,400105.0,7.79816513761468,2.110091743119266,50344.64705882353,,,,,
23,LEARN Chtr - South Chicago Campus,31.0,4.0,0.0,0.0,1238475,400107.0,7.524271844660194,0.9708737864077668,39950.8064516129,,,,,
24,Catalyst Charter - Maria ES,78.0,2.0,2.0,1.0,3909536,400115.0,14.130434782608695,0.9057971014492754,50122.256410256414,94.7,2.2,26.3,1.3,79.0
25,YCCS-Scholastic Achievement HS,7.0,1.0,0.0,0.0,253009,400123.0,6.862745098039216,0.9803921568627452,36144.142857142855,59.8,47.3,84.8,22.4,64.7
26,YCCS- McKinley-Lakeside Leadership Academy,10.0,1.0,0.0,0.0,322390,400124.0,15.151515151515152,1.5151515151515151,32239.0,71.8,49.7,68.6,14.5,67.9
27,YCCS-ASPIRA Pantoja Alt HS,9.0,0.0,0.0,0.0,119316,400125.0,5.69620253164557,0.0,13257.333333333334,71.0,80.3,84.4,36.3,76.9
28,YCCS-Association House,9.0,1.0,0.0,0.0,180208,400126.0,12.5,1.3888888888888888,20023.11111111111,63.1,68.1,85.2,7.4,80.0
29,YCCS-CCA Academy HS,8.0,1.0,0.0,0.0,166527,400128.0,8.88888888888889,1.1111111111111112,20815.875,48.1,41.1,98.7,5.3,52.4
30,YCCS-Progressive Leadership Academy,4.0,1.0,0.0,0.0,364928,400129.0,3.076923076923077,0.7692307692307693,91232.0,75.1,51.0,64.7,15.0,44.4
31,YCCS-Community Youth Dev Inst HS,7.0,0.0,0.0,0.0,267391,400130.0,11.864406779661016,0.0,38198.71428571428,57.5,60.0,88.6,22.4,82.4
32,YCCS-Albizu Campos Puerto Rican HS,14.0,1.0,0.0,0.0,266448,400131.0,14.432989690721648,1.0309278350515465,19032.0,73.9,44.2,81.1,8.1,81.8
33,YCCS-Innovations of Arts Integr HS,14.0,1.0,0.0,0.0,535292,400133.0,3.076923076923077,0.2197802197802197,38235.142857142855,48.8,52.4,89.1,11.1,71.4
34,YCCS-Olive Harvey Mid College HS,7.0,0.0,0.0,0.0,359031,400136.0,8.433734939759036,0.0,51290.142857142855,58.9,31.2,91.0,9.9,90.0
