,sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu,School Name_x,pre_cov_att,post_cov_att,att_diff_pp,school_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,teachers_per_100_stu,help_per_100_stu,salary_per_teach,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Teacher Retention Rate,dolla_per_student,pre_att_bucket,post_att_bucket
75,610568,22,65016,328,0.7408536585365854,0.8871951219512195,PATHWAYS - AVONDALE HS,78.36250000000001,63.625,14.737500000000011,,,,,,,,,,,,,,13299.55487804878,low,low
76,609705,45,46111,237,0.7848101265822784,1.0,FENGER HS,87.38749999999999,66.5625,20.82499999999999,,,,,,,,,,,,,,20664.071729957806,high,low
77,400077,9,66112,567,0.7601410934744268,0.9982363315696648,U OF C - WOODLAWN HS,92.9625,84.3,8.662500000000009,,,,,,,,,,,,,,16972.25925925926,high,high
78,609723,28,47041,194,0.8402061855670103,0.9845360824742267,MARSHALL HS,75.55,60.8,14.749999999999991,,,,,,,,,,,,,,22315.0,low,low
79,610389,24,28151,236,0.8135593220338984,0.961864406779661,ORR HS,73.0625,65.075,7.987499999999997,,,,,,,,,,,,,,18429.927966101695,low,low
80,609739,49,46331,1490,0.8369127516778524,0.951006711409396,WASHINGTON HS,88.625,80.67500000000001,7.949999999999989,,,,,,,,,,,,,,10619.128187919463,high,high
81,400164,33,66921,81,0.7777777777777778,0.9753086419753086,INSTITUTO - JUSTICE HS,66.9875,50.1375,16.849999999999994,,,,,,,,,,,,,,20690.123456790123,low,low
82,610513,35,45231,137,0.8248175182481752,0.9343065693430656,AIR FORCE HS,91.8875,87.98750000000001,3.899999999999992,,,,,,,,,,,,,,26740.605839416057,high,high
83,610381,4,55191,71,0.9154929577464788,0.971830985915493,BRONZEVILLE HS,83.625,84.5,-0.875,,,,,,,,,,,,,,40204.16901408451,low,high
84,400149,61,66137,562,0.9537366548042704,0.99288256227758,ACERO - SOTO HS,87.75,84.2,3.549999999999997,,,,,,,,,,,,,,13978.209964412812,high,high
85,609760,51,46381,406,0.874384236453202,0.9852216748768472,CARVER MILITARY HS,92.05,84.5625,7.487499999999997,,,,,,,,,,,,,,15090.84236453202,high,high
