,pre_cov_att,post_cov_att,perc_low_income,perc_black_his_stu,bus_count,dolla_per_student,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
uninsured_rate,0.22946786428291868,0.08189850886647115,0.04820947778994133,-0.12703699152379225,-0.04839341289535548,-0.0718654612767916,-0.08231494877057839,0.6247662098446193,-0.36686160800134354,0.49188624079228904,-0.3425764979552653,-0.18710393921889196,-0.5313920669386175,-0.6349391971282402,-0.47124858370790623,-0.23331174732174845,-0.32315705150072416,0.008921867015965819,-0.07788388568753052,0.05248818042541928,1.0,-0.38728483539853625,0.0824177127604154,0.2156984319147236,-0.23237971369144825,-0.06365656821396716,0.2622139395085359,-0.3324060428853663,0.4520402938176478,0.12547511833530328,0.11078023599603072
adq_child_care,-0.15343293586295356,0.0741604195157081,0.0680230887931693,0.0593128151693045,-0.10958740132390533,0.07951745268933316,-0.06966667695042693,-0.6936985228006919,0.42016606030611175,-0.8358792701341387,0.7366058174146972,0.9008167063838356,0.8588000993296813,0.6996161909820733,0.639794768688061,0.600631787980965,0.6784169440629441,0.18418674516108863,0.1928383860240191,-0.8514210993135367,-0.38728483539853625,1.0,-0.7255562627008536,-0.7644069509225674,0.6867040188433646,0.396779148156687,-0.9080994926848246,0.8778306417396833,-0.6720136698938304,-0.8856840806553494,-0.7181823300634673
perc_vacant_units,0.03615967136230548,-0.11858684856558262,-0.08474559306373819,0.030660728590563395,0.07944834271194728,-0.07570504706772069,0.08040693201024722,0.4100135086940475,-0.3125915718969421,0.5333761010953895,-0.4718755542487507,-0.7136036716061954,-0.5160393583246157,-0.3082673696014809,-0.25631237651242755,-0.6836510208971804,-0.7161303908357374,0.09495711718674525,0.1844263401722858,0.814031958285418,0.0824177127604154,-0.7255562627008536,1.0,0.475655043267842,-0.5121889246148078,-0.4726999281763769,0.6928464772666316,-0.6121368586583495,0.45774905177539377,0.7896714971083452,0.6365383680581838
perc_sing_par_hh,0.10395720173963602,-0.07483698106575072,-0.04966772910191396,-0.017705432017620776,0.03164892427193612,-0.10254642996289927,-0.2682955422541636,0.47345932819870007,-0.34963772944568733,0.7226374362542953,-0.6416835335204909,-0.8322694343892756,-0.7142743576607063,-0.5955235057748703,-0.568487304119984,-0.35784012750022404,-0.4773470892900065,-0.40649387750576915,-0.36388546381450226,0.711756650435545,0.2156984319147236,-0.7644069509225674,0.475655043267842,1.0,-0.6408062404730054,-0.38653902459588785,0.8630904487412581,-0.7906156676456648,0.4921103978278421,0.8150928086391133,0.7491530460915143
comm_belong_16_18,-0.034511905441115646,0.1303191896292102,0.0006353465187826498,-0.06766998493724925,-0.08423431122702145,-0.03806782801499937,0.28611457324327827,-0.42876268038346577,0.1280313148307662,-0.6187905313814416,0.46280425379372,0.6890879749041389,0.6030464141116016,0.4503346016687144,0.31453593020304543,0.4680987565343787,0.5138599347092557,0.08258193231669698,0.06624138044248061,-0.6202971955132701,-0.23237971369144825,0.6867040188433646,-0.5121889246148078,-0.6408062404730054,1.0,0.5106257681850349,-0.7255695387995159,0.6275065608460234,-0.5211888913857393,-0.6577138419695724,-0.6012820582389838
comm_belong_20_21,0.16242301226164751,0.19142483443819175,-0.11593546929891112,-0.11864405869163204,-0.15373728753599838,0.05495344996115661,0.21195120906787618,-0.17326349760371976,0.14643598750192632,-0.2922911103164876,0.20617836909184675,0.3743834402267408,0.3517597256382532,0.2057386817554192,0.07418222529095102,0.3944298148317187,0.42438543457997546,0.04590569558912377,-0.1887048600379724,-0.474665723450259,-0.06365656821396716,0.396779148156687,-0.4726999281763769,-0.38653902459588785,0.5106257681850349,1.0,-0.4784267712070508,0.3674769207757745,-0.24506106780615533,-0.46547589336009165,-0.5600633326546445
perc_hh_stamps,0.09982334733797543,-0.13790700063325448,-0.03841387459769584,-0.034839393446581046,0.17552498525748333,-0.06144081946841794,-0.043153254944411946,0.6216513922340389,-0.40000538113423395,0.8005494099106346,-0.7627969287938987,-0.9250227792305571,-0.8485530929780206,-0.6763788461884933,-0.6564877765045449,-0.5954828970959207,-0.6813783998002904,-0.18522142346533363,-0.18823319662640722,0.887001330811734,0.2622139395085359,-0.9080994926848246,0.6928464772666316,0.8630904487412581,-0.7255695387995159,-0.4784267712070508,1.0,-0.919535567928552,0.6278644020762724,0.9355382933115811,0.8219206063977482
perc_not_getting_stamps,-0.0709020728344738,0.1250349877458827,0.052662078715941356,0.043194854503337564,-0.18295221370483594,0.05481149408079633,-0.004301168949696529,-0.6498950575087433,0.454215162488874,-0.8205601678244144,0.7184413064933497,0.8486130479628173,0.8319734488538764,0.715954001058741,0.6863494892834049,0.527956948368285,0.6141490211892301,0.14858754171053645,0.1996927038531209,-0.8040031368886666,-0.3324060428853663,0.8778306417396833,-0.6121368586583495,-0.7906156676456648,0.6275065608460234,0.3674769207757745,-0.919535567928552,1.0,-0.6154600534092185,-0.8398848521403902,-0.7492656459394462
rent_burdened_hh,-0.018305127242636547,-0.2545150011141131,-0.05344462545107677,0.006163565667352843,0.08144756215264919,-0.00597830927526783,-0.057210197023425925,0.7057935051285085,-0.33819755964929904,0.7547159299474722,-0.6930851547215487,-0.6165031404729556,-0.7686444049391883,-0.6985450012521766,-0.4954102023955598,-0.6498329167257244,-0.7150665585445986,0.07914690075500434,-0.015075654651293067,0.536531391151637,0.4520402938176478,-0.6720136698938304,0.45774905177539377,0.4921103978278421,-0.5211888913857393,-0.24506106780615533,0.6278644020762724,-0.6154600534092185,1.0,0.6083960479952324,0.5039233467455311
homicide_rate,0.06357969419853822,-0.14696898638601993,-0.0896624831172028,0.020921898476541807,0.10478331045292366,-0.05167882953795422,0.046618990969251047,0.5868676745172917,-0.391250220162104,0.7680349546071592,-0.7102426702134442,-0.9327336167713824,-0.7390244616445044,-0.5782110107933429,-0.5551038664002736,-0.6384647145353406,-0.7182078871448904,-0.11421822079350138,-0.11601574967263362,0.9380078278751377,0.12547511833530328,-0.8856840806553494,0.7896714971083452,0.8150928086391133,-0.6577138419695724,-0.46547589336009165,0.9355382933115811,-0.8398848521403902,0.6083960479952324,1.0,0.8590952747288595
drug_induced_dt_rate,0.03822393026709031,-0.14649243130813738,-0.028441990137741253,0.0035917125092148326,0.046954185800936216,0.06587394915968744,-0.1021672446801711,0.48147876193740424,-0.2855618332077759,0.6244342028781824,-0.5687966283211708,-0.7502082635073752,-0.6163153572078369,-0.48936636268709205,-0.38440557711580237,-0.5967175515705707,-0.6569675715835172,-0.06817727767952662,-0.023317910928083753,0.7993521236549038,0.11078023599603072,-0.7181823300634673,0.6365383680581838,0.7491530460915143,-0.6012820582389838,-0.5600633326546445,0.8219206063977482,-0.7492656459394462,0.5039233467455311,0.8590952747288595,1.0
