,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
1673,12969736,JG136957,2023-01-30T21:30:00.000,062XX S KARLOV AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0813,008,23,65,14,1150109,1862898,2023,2023-02-06T15:49:33.000,41.779695071,-87.725231799,"{'latitude': '41.779695071', 'longitude': '-87.725231799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,63,292,6,58,13,271
1674,12968584,JG135399,2023-01-30T21:30:00.000,016XX E 86TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,0412,004,8,45,08B,1188785,1848285,2023,2023-02-06T15:49:33.000,41.738757681,-87.583908323,"{'latitude': '41.738757681', 'longitude': '-87.583908323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,41,431,35,25,19,240
1675,12970119,JG137073,2023-01-30T21:30:00.000,039XX W ROOSEVELT RD,0325,ROBBERY,VEHICULAR HIJACKING,GAS STATION,False,False,1132,011,24,29,03,1150118,1894416,2023,2023-02-06T15:49:33.000,41.866184642,-87.724379838,"{'latitude': '41.866184642', 'longitude': '-87.724379838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,30,98,14,30,16,142
1676,12968579,JG135405,2023-01-30T21:30:00.000,082XX S MARYLAND AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,0631,006,8,44,03,1183336,1850642,2023,2023-02-06T15:49:33.000,41.745354023,-87.603798903,"{'latitude': '41.745354023', 'longitude': '-87.603798903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,141,35,61,20,235
1677,12968511,JG135347,2023-01-30T21:30:00.000,080XX S MARSHFIELD AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,STREET,False,True,0611,006,21,71,08B,1166742,1851332,2023,2023-02-06T15:49:33.000,41.747617457,-87.664582442,"{'latitude': '41.747617457', 'longitude': '-87.664582442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,574,13,59,20,231
1678,12968451,JG135350,2023-01-30T21:26:00.000,005XX E 133RD ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,VACANT LOT / LAND,False,False,0533,005,9,54,15,1182402,1817189,2023,2023-02-06T15:49:33.000,41.653576257,-87.608253161,"{'latitude': '41.653576257', 'longitude': '-87.608253161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,4460,51,9,43,47,10,221
1679,12968547,JG135330,2023-01-30T21:24:00.000,010XX E 132ND ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CHA APARTMENT,False,True,0533,005,9,54,04A,1185696,1818028,2023,2023-02-06T15:49:33.000,41.655801932,-87.596174417,"{'latitude': '41.655801932', 'longitude': '-87.596174417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,4460,51,10,43,47,10,221
1680,12968460,JG135358,2023-01-30T21:23:00.000,012XX W 71ST ST,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,STREET,True,False,0734,007,6,67,26,1169389,1857704,2023,2023-02-06T15:49:33.000,41.765046204,-87.654698848,"{'latitude': '41.765046204', 'longitude': '-87.654698848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,22257,65,408,32,23,17,216
1681,12968520,JG135343,2023-01-30T21:22:00.000,009XX W 118TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,0524,005,34,53,04B,1172362,1826587,2023,2023-02-06T15:49:33.000,41.679591836,-87.644714264,"{'latitude': '41.679591836', 'longitude': '-87.644714264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22212,50,642,22,13,10,220
1682,12968463,JG135349,2023-01-30T21:16:00.000,051XX W CHICAGO AVE,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,GAS STATION,True,False,1531,015,37,25,18,1141741,1904839,2023,2023-02-06T15:49:33.000,41.894945606,-87.754874977,"{'latitude': '41.894945606', 'longitude': '-87.754874977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,694,45,32,25,69
