,pre_cov_att,post_cov_att,pre_att_bucket,post_att_bucket,att_diff_pp
472,88.3,84.3125,high,high,3.987499999999997
473,88.13749999999999,73.7125,low,low,14.424999999999985
474,92.3,85.625,high,high,6.674999999999997
475,88.1375,84.7125,low,high,3.424999999999997
476,92.7,93.05,high,high,-0.3500000000000085
477,92.7,93.05,high,high,-0.3500000000000085
478,92.7,93.05,high,high,-0.3500000000000085
479,71.5875,71.975,low,low,-0.3874999999999886
480,78.36250000000001,63.625,low,low,14.737500000000011
481,57.875,60.3375,low,low,-2.4624999999999986
482,56.8125,44.5625,low,low,12.25
483,52.975,44.7375,low,low,8.237500000000004
484,94.0,87.7,high,high,6.299999999999997
485,90.15,90.35,high,high,-0.1999999999999886
486,87.96666666666667,80.98333333333333,low,low,6.983333333333334
487,89.9,83.7,high,high,6.200000000000003
488,94.975,84.55,high,high,10.424999999999995
489,92.325,81.60000000000001,high,low,10.724999999999994
